"ID"	"chrom"	"loc.start"	"loc.end"	"num.mark"	"seg.mean"	"seg.med"	"probes.Sd"
"HT29.Cell.Line"	1	564621	249198692	71238	0.029	-0.00295	0.866589750082832
"HT29.Cell.Line"	2	15703	134174032	41622	0.1073	0.1039	0.885142656836667
"HT29.Cell.Line"	2	134177236	134269577	41	-2.2594	-2.4519	2.34381788328644
"HT29.Cell.Line"	2	134271777	243048760	32180	0.0092	-0.00295	0.876289859463532
"HT29.Cell.Line"	3	66866	59917169	21034	-0.9343	-0.9343	0.888013713142562
"HT29.Cell.Line"	3	59917928	60279946	328	-1.805	-1.8842	1.36253116900534
"HT29.Cell.Line"	3	60280255	60661146	280	-4.5209	-5.1311	2.80856538223156
"HT29.Cell.Line"	3	60661380	60942297	148	-1.8832	-1.8842	1.37853228422896
"HT29.Cell.Line"	3	60944975	75127510	5995	-1.0059	-0.9343	0.915533990797537
"HT29.Cell.Line"	3	75127552	79399575	1044	-1.3516	-1.2924	1.05688958309624
"HT29.Cell.Line"	3	79404693	82477875	714	-2.0173	-1.8842	1.29081204460311
"HT29.Cell.Line"	3	82488254	83438124	188	-1.2924	-1.2924	1.01286695904666
"HT29.Cell.Line"	3	83448914	89432683	1295	-2.0458	-1.8842	1.34606786663545
"HT29.Cell.Line"	3	89458612	90169605	74	-0.6185	-0.9343	1.72520608462869
"HT29.Cell.Line"	3	90225446	126884593	9338	0.6482	0.6666	0.957217401017988
"HT29.Cell.Line"	3	126884965	135189598	2482	0.2668	0.2075	0.913128955641395
"HT29.Cell.Line"	3	135190414	144394775	2557	-0.1105	-0.00295	0.865956112451621
"HT29.Cell.Line"	3	144405080	153169869	2530	0.6812	0.6666	0.965322229658475
"HT29.Cell.Line"	3	153177445	162161097	2510	0.2028	0.2075	0.895288152682605
"HT29.Cell.Line"	3	162161616	181329682	5095	0.6136	0.6666	0.893107374059023
"HT29.Cell.Line"	3	181339395	197856433	5025	0.2263	0.2075	0.915254416339413
"HT29.Cell.Line"	4	45410	91241948	27483	0.0219	-0.00295	0.869493378585386
"HT29.Cell.Line"	4	91253956	91596264	88	-1.2361	-1.2924	1.64040863342789
"HT29.Cell.Line"	4	91608632	141404389	13137	0.0475	-0.00295	0.889935305517677
"HT29.Cell.Line"	4	141409692	159892122	5082	-0.3031	-0.26445	0.98008105143174
"HT29.Cell.Line"	4	159893200	183618801	7671	-0.9695	-0.9343	0.881035428014529
"HT29.Cell.Line"	4	183622901	190921709	2510	-0.6153	-0.9343	1.01089245172762
"HT29.Cell.Line"	5	36344	5640744	2574	0.9001	0.88315	0.942700560664485
"HT29.Cell.Line"	5	5641845	57041324	15363	0.6668	0.6666	0.916178229830742
"HT29.Cell.Line"	5	57042084	180692833	38446	0.0077	-0.00295	0.873922355232754
"HT29.Cell.Line"	6	203249	67633854	22964	-0.028	-0.00295	0.841642282130207
"HT29.Cell.Line"	6	67634071	164666151	30703	-0.2735	-0.26445	0.879267312119725
"HT29.Cell.Line"	6	164666382	170918031	2554	0.1005	0.1039	0.893855404911929
"HT29.Cell.Line"	7	43259	8561561	2570	0.5433	0.5421	0.924242525632267
"HT29.Cell.Line"	7	8561945	21059022	5248	0.0661	-0.00295	0.90819296635831
"HT29.Cell.Line"	7	21059378	159119220	39097	0.6664	0.6666	0.912117499508961
"HT29.Cell.Line"	8	161222	46924211	18686	-2.4519	-2.4519	1.02012554734811
"HT29.Cell.Line"	8	46924357	105422175	16008	-0.0531	-0.00295	0.880510065060759
"HT29.Cell.Line"	8	105422209	107006962	439	-1.8842	-1.8842	1.49413387074873
"HT29.Cell.Line"	8	107018254	108632019	576	-0.2631	-0.00295	1.1122647343678
"HT29.Cell.Line"	8	108635085	115181572	1539	0.2013	0.2075	1.0904522412527
"HT29.Cell.Line"	8	115186971	142656918	10722	2.3571	2.38599128728566	1.04137821709173
"HT29.Cell.Line"	8	142657628	146293414	605	0.7124	0.6666	1.34863581562282
"HT29.Cell.Line"	9	46587	8952714	5132	-0.2302	-0.26445	0.896855138161407
"HT29.Cell.Line"	9	8959010	14453076	2518	0.017	-0.00295	0.958682020116475
"HT29.Cell.Line"	9	14453441	73595836	10473	-0.2646	-0.26445	0.888025679008124
"HT29.Cell.Line"	9	73599825	141071475	23273	0.0119	-0.00295	0.871785259861749
"HT29.Cell.Line"	10	104427	135434551	48164	-0.0417	-0.00295	0.852301355922243
"HT29.Cell.Line"	11	198510	134944770	44509	0.6298	0.6666	0.89011401298642
"HT29.Cell.Line"	12	161382	13862474	5034	-0.061	-0.00295	0.872154637684194
"HT29.Cell.Line"	12	13866172	21695844	2457	0.1642	0.2075	0.897264873472363
"HT29.Cell.Line"	12	21699916	39173474	4999	0.6798	0.6666	0.949587185623692
"HT29.Cell.Line"	12	39177405	133777645	30015	-0.0275	-0.00295	0.834416224758566
"HT29.Cell.Line"	13	19045720	25785646	2602	1.3436	1.34469584279219	0.981954400896557
"HT29.Cell.Line"	13	25792173	31705952	2673	1.6573	1.6617352437562	0.97346979650086
"HT29.Cell.Line"	13	31708167	38591855	2642	1.278	1.2808396553672	0.932351868689878
"HT29.Cell.Line"	13	38593775	115106996	26348	0.7324	0.7459	0.888968075687892
"HT29.Cell.Line"	14	20211644	107285437	28055	-0.9659	-0.9343	0.856956386422607
"HT29.Cell.Line"	15	20071673	102400037	26039	0.6415	0.6666	0.888682311969191
"HT29.Cell.Line"	16	86671	6399476	1905	-0.1018	-0.00295	1.0096758715294
"HT29.Cell.Line"	16	6400124	6828220	399	-2.9123	-2.4519	2.99260947232032
"HT29.Cell.Line"	16	6833886	79050116	19150	-0.099	-0.00295	0.859732639187785
"HT29.Cell.Line"	16	79051702	79233389	182	-1.0681	-0.9343	1.42740172336207
"HT29.Cell.Line"	16	79236830	90163275	6042	-0.0588	-0.00295	0.834602509775236
"HT29.Cell.Line"	17	6689	15403878	5157	-0.9808	-0.9343	0.812367533569579
"HT29.Cell.Line"	17	15404812	29216245	1596	-0.3988	-0.4471	0.979134515997773
"HT29.Cell.Line"	17	29234505	30959901	322	0.282	0.2075	1.3291097417683
"HT29.Cell.Line"	17	30960537	32269081	653	-0.5194	-0.9343	1.05173854138402
"HT29.Cell.Line"	17	32271366	32594542	175	0.2122	0.2075	1.00500762995744
"HT29.Cell.Line"	17	32594663	37219325	1245	0.7594	0.7459	1.13609326270099
"HT29.Cell.Line"	17	37219361	41782779	902	0.3065	0.2075	0.944289596187592
"HT29.Cell.Line"	17	41782957	63366847	5207	0.0596	-0.00295	0.885757903847149
"HT29.Cell.Line"	17	63368616	66225185	866	0.5303	0.460083430316506	1.20240173694856
"HT29.Cell.Line"	17	66226067	68540319	766	-0.1393	-0.26445	1.20575491440209
"HT29.Cell.Line"	17	68540687	70645752	893	-0.4663	-0.4471	1.16710151373116
"HT29.Cell.Line"	17	70647389	81049726	2831	0.0236	-0.00295	0.837390467015625
"HT29.Cell.Line"	18	11543	12991393	5303	0.5409	0.5421	0.912131058605966
"HT29.Cell.Line"	18	12992261	24940656	2435	-0.7842	-0.9343	1.07685046549355
"HT29.Cell.Line"	18	24951015	78015057	18781	-1.0374	-0.9343	0.854075518256772
"HT29.Cell.Line"	19	260912	17163661	2972	-0.8246	-0.9343	0.791902065362477
"HT29.Cell.Line"	19	17168486	32580526	2991	-0.3199	-0.26445	1.03992985545382
"HT29.Cell.Line"	19	32580715	59095126	5953	0.8662	0.88315	0.900010032430287
"HT29.Cell.Line"	20	61795	14633078	6226	0.1253	0.2075	0.897518826522419
"HT29.Cell.Line"	20	14640979	15235424	252	-1.0038	-0.9343	1.57991388605943
"HT29.Cell.Line"	20	15237052	15826140	344	-0.2167	-0.26445	1.0283314461077
"HT29.Cell.Line"	20	15827930	15965919	82	-0.8237	-0.9343	1.42847306192684
"HT29.Cell.Line"	20	15968880	23217315	3250	0.1866	0.2075	0.9084246088022
"HT29.Cell.Line"	20	23217594	37082145	2548	0.6755	0.6666	1.00545564637666
"HT29.Cell.Line"	20	37102807	62912463	10137	0.9642	0.959281257256187	0.915873254597747
